period_days,duration_hours,depth_ppm,prad_re,teff_k,logg_cgs,srad_rsun,fpflag_nt,fpflag_ss,fpflag_co,fpflag_ec
15.9929608,3.747,7870.0,13.4988,6132.0,4.13,1.54,0.0,0.0,0.0,0.0
4.3135263,1.874,274.0,1.17405,4920.0,4.64,0.71,0.0,0.0,0.0,0.0
1.2222265,1.5952613,7777.4504416,13.3612412,6629.1,4.24,1.47816,0.0,0.0,0.0,0.0
0.522457732,0.8907,143.8,1.52,5991.0,4.459,0.954,0.0,1.0,1.0,0.0
321.2124365,4.012,2358.6,7.25,6018.0,4.257,1.286,0.0,0.0,0.0,0.0
9.47850818,6.154,184.6,1.47,6249.0,4.428,1.076,0.0,0.0,0.0,0.0
5.945043548,2.7004,800.2,2.69,5105.0,4.469,0.868,0.0,0.0,0.0,0.0
2.6452121,3.0559836,10456.8418233,12.7803657,5596.0,4.24644,1.2406,0.0,0.0,0.0,0.0
10.8089555,2.71,6392.0,11.7906,6876.0,4.27,1.49,0.0,0.0,0.0,0.0
10.14873521,5.603,116120.0,71.11,6366.0,4.239,1.296,0.0,1.0,0.0,0.0
5.33988,3.214,1238.5,1.27,5718.0,4.411,0.611,0.0,0.0,0.0,0.0
1.662710314,1.83,85.9,2.16,6028.0,3.842,2.244,0.0,0.0,1.0,0.0
4.00498,3.214,1238.5,2.19,3385.0,4.411,0.33,0.0,0.0,0.0,0.0
6.8793455,1.299,16480.0,9.84834,3993.0,4.58,0.69,0.0,0.0,0.0,0.0
5.25419589,2.9878,461.8,2.12,6123.0,4.472,0.987,0.0,0.0,0.0,0.0
513.14417,14.13,223.8,1.3,5709.0,4.557,0.837,1.0,0.0,0.0,0.0
4.6370479,4.8238322,7765.9973286,15.3045465,6438.0,4.10962,1.68054,0.0,0.0,0.0,0.0
3.601465336,2.2753,777.7,2.31,5052.0,4.48,0.855,0.0,0.0,0.0,0.0
79.3739596,5.392,1227.0,2.17454,5168.33,4.60584,0.77,0.0,0.0,0.0,0.0
2.87998334,1.658,116.5,0.85,4951.0,4.523,0.806,0.0,0.0,0.0,0.0
0.4489589,0.7637477,674.8277016,1.015263,3419.0,4.84756,0.377509,0.0,0.0,0.0,0.0
4.4531846,1.687,5910.0,3.96,5766.0,4.411,1.028,0.0,0.0,0.0,0.0
5.1287265,2.0606408,809.4472541,3.3763609,6055.5,4.38,1.14,0.0,0.0,0.0,0.0
28.5462089,1.7666666,1744.4659966,2.8547322,3717.0,4.67682,0.569914,0.0,0.0,0.0,0.0
8.0428575,9.504,18730.0,3.96,8286.0,4.411,1.028,0.0,0.0,0.0,0.0
5.614892073,3.7294,2373.0,1192.79,4289.0,1.603,35.695,0.0,1.0,1.0,0.0
2.6680587,2.978,580.0,3.45609,6406.0,4.23,1.44,0.0,0.0,0.0,0.0
4.0646554,2.813,7700.0,8.30577,5647.0,4.5,0.93,0.0,0.0,0.0,0.0
4.1459886,2.604,26190.0,12.1704,3981.0,4.56,0.71,0.0,0.0,0.0,0.0
278.1243979,3.978,2297.8,5.86,5799.0,4.408,1.05,0.0,0.0,0.0,0.0
287.33114,12.722,406.7,2.07,5426.0,4.378,1.007,0.0,0.0,0.0,0.0
4.4360402,2.438,7040.0,11.7883,6633.0,4.29,1.39,0.0,0.0,0.0,0.0
16.0343,3.214,1238.5,2.05,5718.0,4.411,0.616,0.0,0.0,0.0,0.0
3.225369,3.214,1238.5,1.593,5718.0,4.411,0.582,0.0,0.0,0.0,0.0
4.4719937,2.619,170.0,1.08366,5364.0,4.5,0.89,0.0,0.0,0.0,0.0
5.63252508,2.1448,634.4,2.04,5216.0,4.58,0.804,0.0,0.0,0.0,0.0
19.077,3.214,1238.5,2.19,4800.0,4.629,0.67,0.0,0.0,0.0,0.0
2.709631,3.282,10819.0,14.9972,5838.0,4.12,1.47,0.0,0.0,0.0,0.0
84.2607645,10.925059,440.1660616,3.4359102,6321.0,4.22436,1.41189,0.0,0.0,0.0,0.0
199.443024,7.409,4036.0,9.3,5646.0,4.278,1.153,0.0,1.0,1.0,1.0
29.7681831,9.425,159.9,3.98,5640.0,3.679,2.916,0.0,0.0,0.0,0.0
100.41475198,1.72,1238.5,3.96,5718.0,4.411,1.028,0.0,0.0,0.0,0.0
7.140373046,7.07032,205260.0,61.56,5945.0,4.168,1.333,0.0,1.0,0.0,0.0
16.473474,4.201,470.5,1.63,5364.0,4.529,0.754,0.0,0.0,0.0,0.0
10.7930529,3.214,1238.5,3.96,5436.47,4.44354,0.968558,0.0,0.0,0.0,0.0
12.62530918,3.163,39413.0,87.2,6878.0,4.012,1.844,0.0,1.0,0.0,0.0
36.109,3.214,1238.5,8.0,5718.0,4.411,0.504,0.0,0.0,0.0,0.0
0.592243731,1.386,3992.4,6.77,4920.0,4.664,0.591,0.0,0.0,0.0,0.0
5.7488832,5.003,190.0,2.08943,6009.0,4.11,1.54,0.0,0.0,0.0,0.0
213.3990406,6.5043,13930.0,35.2,6960.0,4.069,1.83,0.0,1.0,0.0,0.0
1.2392569,1.0860452,2917.3714571,3.1811214,3614.0,4.81257,0.507628,0.0,0.0,0.0,0.0
17.8597459,4.862,2180.0,6.12838,6263.0,4.3,1.3,0.0,0.0,0.0,0.0
2.5778717,3.472,1010.0,18.687,8321.0,3.75,3.16,0.0,0.0,0.0,0.0
67.8766605,2.598,389.2,1.92,6018.0,4.485,0.975,0.0,0.0,0.0,0.0
8.6381,3.214,1238.5,15.99,3987.0,4.411,0.5,0.0,0.0,0.0,0.0
0.5209929,1.101,8570.0,18.4513,6116.2,3.89,2.01,0.0,0.0,0.0,0.0
2.6156239,2.101,2340.0,4.05281,7002.0,4.411,0.83,0.0,0.0,0.0,0.0
10.10463142,2.369,114.6,1.59,6070.0,4.157,1.431,0.0,0.0,0.0,0.0
